Brand_id,brand_name
58,Gekkeikan Black & Gold Sake
62,Herradura Silver Tequila
63,Herradura Reposado Tequila
72,No. 3 London Dry Gin
75,Three Olives Tomato Vodka
77,Three Olives Espresso Vodka
79,Three Olives Loopy Vodka
115,Belvedere Vodka
126,Grey Goose Vodka
168,Three Olives Strawberry
171,Gentleman Jack
173,Hornitos Reposado VAP
175,1800 Anejo Tequila
178,Wild Turkey Russell's RSV
192,Milagro Anejo Tequila
211,Cold River Gin
229,Sauza Gold VAP
233,Tullamore Dew 12 Yr Old
247,Gran Patron Platinum Tequil
254,DeKuyper Root Beer Schnapps
261,Svedka Citron Vodka
273,Sauza Extra Gold Tequila
283,Milagro Tequila Reposado SBR
284,Milagro Tequila Anejo SBR
294,Old Mexico Gold Tequila
305,Crown Royal Canadian Whisky
323,Tequila Rose Strawberry Gift
344,Punt e Mes Sweet Vermouth
361,Effen Cucumber Vodka
376,Aperol Liqueur
384,Ardbeg Corryvreckan Scotch
388,Smirnoff 80 Proof
408,Wild Turkey American Honey
415,Jose Cuervo Especial
419,Absolut Citron
425,Hennessy Paradis
426,Crystal Head Vodka
435,Il Tramonto Limoncello
438,Licor 43 Vanilla Liqueur
443,St Germain Liqueur
450,Vincent Van Gogh Double Esp
463,Kirk & Sweeney 12Yr Old Rum
482,Absolut 80 Proof
485,Seagrams 7 Crown
497,Capt Morgan Spiced Rum
508,Bacardi Superior Rum
513,Ocean Vodka
515,Hirsch Selection Bourbon
525,El Tesoro Anejo Gold Tequil
536,Svedka Cherry Vodka
538,Amaretto DiSaronno
539,Bowman's Vodka
543,Berkshire Mtn Ethereal Gin
555,Art In The Age Sage
567,Ketel One Vodka
592,The Glenlivet Archive 21 Yr
597,Baileys Irish Cream
605,Alate Kosher Wine
607,Schmitt Sohne Funf Rsl
649,Sauza Tres Generaciones Pla
653,Dom de Canton Ginger Liqueur
661,Red Stag by Jim Beam
664,Ardbeg Uigeadail Scotch
676,Pinnacle Whipped Vodka
680,Midnight Moon Strawberry
686,Midnight Moon Cherry
693,Svedka Vanilla Vodka
742,DeKuyper Spearmint Schnapps
743,Angels Envy Whiskey
753,LaBelle Winery Blueberry
757,Jim Beam Rye
758,Cointreau Liqueur
759,Bunnahabhain 12 Yr Single
779,Svedka Raspberry Vodka
780,Svedka Clementine Vodka
782,Remy Martin 1738 Accord Ryl
802,Bacardi Torched Cherry Rum
807,Jim Beam
809,Southern Comfort
810,Bacardi Black Razz
811,Jack Daniels No 7 Black
812,Jagermeister Liqueur
820,Hennessy VS Cognac
821,Grand Marnier
822,Tanqueray
824,Dewars White Label Scotch
828,Bols Sloe Gin
831,Bols Green Creme De Menthe
836,Bols Creme de Cassis
838,Bols Cherry Flavored Brandy
854,Seagrams VO Canadian Whiskey
856,Chinaco Blanco Tequila
857,Kahlua
858,Canadian Club
859,Beefeater Gin
870,Carpano Antica Formula
876,DeKuyper Creme de Cacao Whit
883,Patron Burdeos Anejo Tequila
892,Uncle Val's Botanical Gin
903,Bombay Sapphire Gin
934,Tanteo Jalapeno Tequila
942,Glenmorangie Nectar D'Or
950,Mastersons 10 Yr Old Rye
966,Patron Citronge Orange Liqu
970,Prairie Organic Kosher Vodka
971,Sauza Extra Gold Tequila
973,Bacardi 1873 Solera Rum
984,Patron XO Cafe Liqueur
993,Three Olives S'Mores Vodka
999,Jameson 18 Year Old
1094,Four Roses Single Barrel Brb
1099,Angel's Envy NH Blend Bourbn
1106,Aberfeldy Single Cask
1133,Glenmorangie Collection 4 Pk
1135,Rebel Reserve Bourbon
1136,Malibu 50ml Sampler Pack
1174,Rebel Yell
1178,Evan Williams Black Label B
1180,Evan Williams Black Label B
1186,Evan Williams Single Barrel
1202,Hennessy VS Chain VAP
1212,DiSaronna Amaretto Sour VAP
1220,Woodford Reserve Bourbon
1226,Lexington Bourbon
1228,Glenfiddich Ancient RSV 18
1231,Jack Daniels No 7 Black
1232,Jack Daniels No 7 Black
1233,Jack Daniels No 7 Black
1237,Jack Daniels Single Barrel
1238,The Glenlivet 12 Yr Single
1239,Booker's Bourbon
1242,Jeremiah Weed Cinnamon Whsky
1244,Jack Daniels Winter Jack
1252,Jim Beam Bonded Bourbon
1258,Jim Beam Black
1269,Jeffersons Bourbon
1271,Jeffersons Reserve Bourbon
1273,Jim Beam Choice
1274,No. 14 Bourbon
1278,Jim Beam Black
1281,Benchmark Old #8 Bourbon
1282,Small Batch 1792
1295,Jack Daniels No 7 Black
1296,Tap 357 Maple Rye Whisky
1304,Jeremiah Weed Sarsaparilla
1309,Makers Mark Cask Strength
1323,Early Times
1328,Ole Smoky Peach Moonshine
1340,Jim Beam Jacob's Ghost
1343,Jack Daniels Sinatra Select
1345,Basil Hayden Bourbon
1346,Knob Creek Bourbon
1347,Bakers Bourbon
1348,Knob Creek Bourbon
1352,Patron Anejo Clsc Gift Set
1355,Knob Creek Bourbon
1358,Knob Creek Bourbon
1359,Knob Creek Rye
1361,BenRiach 1994
1364,Bols Pumpkin Spice
1365,Stoli Mini Bar 5/50mLs Pack
1366,Red Stag by Jim Beam
1373,Jim Beam Honey
1375,Jim Beam
1376,Jim Beam
1378,Jim Beam
1379,Jim Beam Traveler
1380,Bulleit 95 Rye
1382,Makers 46
1384,Bulleit 95 Rye
1385,Makers Mark
1386,George Dickel No 8 Bourbon
1388,Red Stag by Jim Beam
1389,Makers Mark
1392,Red Stag Hardcore Cider
1393,Jim Beam
1394,Makers Mark
1395,Old Crow
1396,Old Crow
1397,Jim Beam Kentucky Fire
1398,Blantons Sgl Barrel Bourbon
1399,Jim Beam Signature Craft
1404,Woodford Rsv Master Coll Pnt
1415,Old Grand Dad
1416,Old Grand Dad
1424,Bulleit Bourbon
1425,Granite Lightning Whiskey
1464,Tin Cup Whiskey
1465,Woodford Rsv Bourbon
1468,Knob Creek Single Barrel Rsv
1476,Jim Beam Traveler
1479,Ten High
1535,Gentleman Jack
1542,Bowen's American Whiskey
1545,Gentleman Jack
1595,Gentleman Jack
1623,Bulleit 95 Rye
1634,The Famous Grouse
1637,Fleischmanns Preferred
1639,The Famous Grouse
1657,Dalwhinnie Distillers Edtion
1692,Everclear 151
1715,Ole Smoky Apple Pie Moonshne
1725,Ole Smoky White Lightnin'
1728,Aberlour 16 Year Old Single
1734,Duggans Dew O Kirkintilloch
1737,Makers Mark
1738,Ole Smoky Moonshine Cherries
1740,Glenkinchie 12 YO Scotch
1744,Old Forester 100 Bourbon
1746,Tomatin 12 Yr Old Scotch
1748,William Grant Scotch
1758,Aberlour Glenlivet 12 Yr
1760,William Grant Scotch
1767,Buffalo Trace Bourbon
1770,Jack Daniels Tennessee Fire
1771,Jack Daniels Tennessee Fire
1781,Wild Turkey Russell's Rsv
1789,Jack Daniels Tennesse Fire
1790,Morrigan Irish Whiskey
1817,Irishman Founders RSV Whisky
1835,Knappogue Castle Irish Whsky
1836,Tyrconnell Irish Whiskey
1845,Cluny Scotch Whiskey
1848,Oban Little Bay Single Malt
1860,Bruichladdich Islay Barley
1862,John Power Irish Whiskey
1867,Jack Daniels Tennessee Honey
1868,Lagavulin Single Malt 16-Yr
1869,Oban 14-Yr Single Malt
1870,Oban Distiller's Edition
1874,Bruichladdich Octomore 61
1875,Bushmills Black Bush
1876,Midleton Rare Irish Whiskey
1880,The Glenlivet Nadurra 16 Yr
1883,Seagrams 7 Crown
1886,Seagrams 7 Crown
1892,Yukon Jack
1893,Port Charlotte Scotch Barley
1896,The Glenlivet 18 Yr Single
1920,Bowman Brothers Small Batch
1921,Glenfiddich Special Rsv 12
1955,Jack Daniels Tennessee Honey
1956,Balvenie 12 Yr Doublewood S
1961,Everclear 151
1964,Jim Beam Single Barrel
1974,Breaking & Entering Bourbon
1987,White Mountain Moonshine
1997,Charles Goodnight Bourbon
